iter	Logloss
0	0.6638677688
1	0.6395023019
2	0.6186188616
3	0.5997837612
4	0.5834616815
5	0.5732463146
6	0.562437686
7	0.5540305292
8	0.5469734701
9	0.5425052316
10	0.5383643159
11	0.5328573754
12	0.5289529855
13	0.5259463356
14	0.5235407366
15	0.5200394113
16	0.5159800502
17	0.5139015997
18	0.5121340216
19	0.5102830287
20	0.5082825288
21	0.5057879929
22	0.503441104
23	0.5020289249
24	0.501161935
25	0.4996923828
26	0.4987287249
27	0.4970962379
28	0.4954157366
29	0.4944145275
30	0.4926860119
31	0.4915255883
32	0.4908092099
33	0.489445452
34	0.4878041295
35	0.4872391183
36	0.4855600121
37	0.4850628662
38	0.4844416446
39	0.483729219
40	0.4826289876
41	0.4817935907
42	0.4804674421
43	0.4797327241
44	0.4793533761
45	0.47892116
46	0.4782558477
47	0.4770297677
48	0.476697533
49	0.4756984747
50	0.4753764416
51	0.4745563035
52	0.4738300723
53	0.4734279378
54	0.472959275
55	0.472474714
56	0.4720633661
57	0.4718017578
58	0.4714943731
59	0.4711058408
60	0.4708279274
61	0.4704623558
62	0.4699260603
63	0.4693235851
64	0.4690184384
65	0.4685447475
66	0.4679833984
67	0.4672223191
68	0.466547125
69	0.4660763114
70	0.4651985096
71	0.4648228237
72	0.4643502953
73	0.4636946324
74	0.4627590506
75	0.4623575265
76	0.4621402414
77	0.4616173154
78	0.4613397798
79	0.4607250977
80	0.4604397147
81	0.4601525007
82	0.4594835844
83	0.4592022996
84	0.4585228911
85	0.4579021926
86	0.4572868129
87	0.4566274879
88	0.455798863
89	0.4553204927
90	0.4548919096
91	0.4543200102
92	0.4537122163
93	0.453470924
94	0.453129534
95	0.4528895206
96	0.4523168364
97	0.4519016811
98	0.4515941802
99	0.450847197
100	0.4503737677
101	0.4501547968
102	0.4497785586
103	0.4494371687
104	0.4492290969
105	0.4489669945
106	0.4485626802
107	0.4482331775
108	0.4477087693
109	0.4474363781
110	0.4471305629
111	0.4469067964
112	0.4466362363
113	0.4463890148
114	0.4460266404
115	0.4457614862
116	0.4454674421
117	0.444853225
118	0.4444808233
119	0.4439635068
120	0.4434940883
121	0.4432492501
122	0.4427810524
123	0.4424186198
124	0.4416992188
125	0.4413847714
126	0.4411332775
127	0.44069365
128	0.4404609608
129	0.4400369989
130	0.4398072452
131	0.4396520415
132	0.4394013614
133	0.4392035203
134	0.4390215774
135	0.4388211496
136	0.4386644345
137	0.4379626465
138	0.437556443
139	0.4372861444
140	0.436804083
141	0.4365638951
142	0.4360990688
143	0.4358061
144	0.4355425153
145	0.4352907308
146	0.434879441
147	0.4346050444
148	0.4343856666
149	0.4341596331
150	0.433800107
151	0.4335026042
152	0.4330394927
153	0.4326966785
154	0.4325437128
155	0.4320874023
156	0.4317290388
157	0.431396775
158	0.4310032436
159	0.4307788086
160	0.4306494431
161	0.4304005941
162	0.430166655
163	0.4297983515
164	0.4295465669
165	0.4293417213
166	0.4290992083
167	0.4288233875
168	0.4284992327
169	0.4279926409
170	0.4275850133
171	0.427400193
172	0.4271714274
173	0.42659636
174	0.4264281936
175	0.4259977504
176	0.4255636161
177	0.4251321847
178	0.4249766904
179	0.4247299921
180	0.424468006
181	0.4242188372
182	0.4238760521
183	0.4234629023
184	0.4230757068
185	0.4227197847
186	0.42242141
187	0.4220106434
188	0.421726888
189	0.4214329601
190	0.4211084566
191	0.4208791969
192	0.4200897507
193	0.4197245571
194	0.4194112723
195	0.419064767
196	0.4187977237
197	0.4184512184
198	0.4182001314
199	0.4178059024
200	0.417500465
201	0.4168597121
202	0.4164011637
203	0.416138015
204	0.4158876837
205	0.4156922549
206	0.4154895601
207	0.4150028774
208	0.4147194708
209	0.4143033273
210	0.414035412
211	0.4135566348
212	0.4133251372
213	0.4130262974
214	0.4127948289
215	0.4124287633
216	0.411485741
217	0.4112437221
218	0.4103807431
219	0.4099577114
220	0.409594
221	0.4088536726
222	0.4086332775
223	0.4083014207
224	0.4080521647
225	0.4078644961
226	0.407525722
227	0.4071665155
228	0.4068346877
229	0.4060173107
230	0.4054120745
231	0.4051751128
232	0.4045287505
233	0.4041486177
234	0.4038471622
235	0.4036650158
236	0.4032141695
237	0.4030494036
238	0.4025525774
239	0.4022548131
240	0.4017689441
241	0.4013915434
242	0.4012073045
243	0.4009211368
244	0.4005486479
245	0.4000283668
246	0.3997656541
247	0.3995770845
248	0.3992367118
249	0.3989480445
250	0.398605492
251	0.3983256894
252	0.3978487433
253	0.3976799084
254	0.3974650065
255	0.3969663202
256	0.3966182454
257	0.3963578578
258	0.395853039
259	0.3955125791
260	0.3950983247
261	0.3946797979
262	0.3943061465
263	0.3939017741
264	0.3935024588
265	0.3932665434
266	0.3930763172
267	0.3928103783
268	0.3925943429
269	0.3922621954
270	0.3919732957
271	0.3917740885
272	0.3915343076
273	0.3912606085
274	0.3910335868
275	0.390781715
276	0.3904358491
277	0.3901799665
278	0.3899460565
279	0.3896334984
280	0.3894713774
281	0.3892056129
282	0.3890066964
283	0.388815918
284	0.3885965402
285	0.3883513242
286	0.3881248256
287	0.3878791736
288	0.3876794434
289	0.3874325997
290	0.3872184826
291	0.3870658366
292	0.3868069313
293	0.3865762765
294	0.3863642229
295	0.3861184838
296	0.3858556548
297	0.3856513904
298	0.3853908575
299	0.3852133905
300	0.3849659947
301	0.3846365792
302	0.384394415
303	0.3841110375
304	0.3838947405
305	0.3834225028
306	0.3830979411
307	0.3828663272
308	0.3823743257
309	0.3820900763
310	0.3818490746
311	0.3816560582
312	0.3814421445
313	0.3813012114
314	0.3810961333
315	0.3808098493
316	0.3806483968
317	0.380393357
318	0.3801355562
319	0.379907866
320	0.3796600923
321	0.3794053432
322	0.3791197568
323	0.3788759359
324	0.3786707996
325	0.3784647042
326	0.3782994734
327	0.3781138393
328	0.3778422619
329	0.377589402
330	0.3773570905
331	0.377161778
332	0.3769270543
333	0.3767407227
334	0.3764264497
335	0.3762969099
336	0.3760850888
337	0.3758705357
338	0.3755643136
339	0.3753036063
340	0.3750716436
341	0.3747277541
342	0.3745676095
343	0.3743166388
344	0.3740581694
345	0.3738578869
346	0.3735823568
347	0.3733912295
348	0.3731256104
349	0.3729495094
350	0.372743385
351	0.3725426665
352	0.3723759533
353	0.372154541
354	0.3720043364
355	0.3718048386
356	0.3714322917
357	0.3711991664
358	0.3709894961
359	0.3708312116
360	0.3705584717
361	0.370377546
362	0.3701952544
363	0.369925508
364	0.3697025844
365	0.3695358422
366	0.3693672979
367	0.3690813918
368	0.3689127895
369	0.3686943418
370	0.368303397
371	0.3680430676
372	0.3677983747
373	0.3676376488
374	0.3674119059
375	0.367183431
376	0.3669850958
377	0.3667633057
378	0.3665533157
379	0.3664145624
380	0.3661086891
381	0.3658505685
382	0.3656699916
383	0.3653453427
384	0.3651409621
385	0.3649474516
386	0.3647736468
387	0.3645897856
388	0.3643597703
389	0.3641735549
390	0.3640059408
391	0.363724714
392	0.3635384115
393	0.3633344378
394	0.3631244768
395	0.36287525
396	0.3627143206
397	0.3624466669
398	0.3622763788
399	0.3620865595
400	0.3619203404
401	0.3617537144
402	0.3614993141
403	0.3613575381
404	0.3611904181
405	0.3609959484
406	0.360774478
407	0.3605444336
408	0.3604086449
409	0.3602698335
410	0.360031157
411	0.35983381
412	0.3596574475
413	0.3594742257
414	0.3593197777
415	0.3590404983
416	0.3588728551
417	0.3586803037
418	0.3585153053
419	0.3583037749
420	0.35804641
421	0.3578562128
422	0.3576981608
423	0.3574815151
424	0.3573002116
425	0.3571528843
426	0.3569082496
427	0.356749442
428	0.3565064348
429	0.3563554455
430	0.3560766602
431	0.3558321998
432	0.3555682954
433	0.3554238165
434	0.3552306257
435	0.3550416202
436	0.3547889346
437	0.3544850667
438	0.3543294561
439	0.3541612898
440	0.3540560477
441	0.3539190964
442	0.3537552316
443	0.3534151204
444	0.3532491048
445	0.353050944
446	0.3529375349
447	0.352743414
448	0.3525924247
449	0.3524183291
450	0.3522404843
451	0.3520515951
452	0.35186599
453	0.3517091588
454	0.3514902169
455	0.3513205392
456	0.351001616
457	0.3507206217
458	0.3505674816
459	0.3504255022
460	0.3502556501
461	0.3500484212
462	0.3498823475
463	0.3496766009
464	0.3495460728
465	0.3493180629
466	0.3491732933
467	0.3489987328
468	0.3487765067
469	0.3486310686
470	0.3484549386
471	0.3481717936
472	0.3480335054
473	0.347896932
474	0.3477589634
475	0.3476349168
476	0.3474882289
477	0.3473431687
478	0.3470861235
479	0.3469534738
480	0.3468738956
481	0.3467294457
482	0.3465395682
483	0.3463659087
484	0.3461993118
485	0.3459195964
486	0.345675107
487	0.3454763358
488	0.3453345889
489	0.3451260231
490	0.3449171956
491	0.344710984
492	0.3445673479
493	0.3444568162
494	0.3442922247
495	0.3440992955
496	0.3439147949
497	0.3437823486
498	0.3436391485
499	0.3435229492
